year,studio_price_per_sqm,one_room_price_per_sqm,two_room_price_per_sqm,three_room_price_per_sqm
2011,52000,47000,49000,50000
2012,54500,49000,51000,52500
2013,57000,51000,53500,55000
2014,59500,53000,56000,57500
2015,62500,56000,58500,60000
2016,66500,59000,62000,63500
2017,70000,61000,65000,66500
2018,74000,65000,69000,70500
2019,79000,69000,73500,74800
2020,89000,77000,82000,83000
2021,104000,89000,95000,97000
2022,119000,101000,108000,110000
2023,134000,115000,122000,124000
2024,149000,128000,137000,139000
2025,165000,141000,152000,154000
